λ (nm), a_λ (DMS), b_λ (DMS), θ_λ (deg), n_λ
706.5, 222◦ 67′ 82′′, 120◦ 13′ 54′′, 51.454, 1.610
667.8, 222◦ 82′ 50′′, 119◦ 57′ 49′′, 51.708, 1.612
587.5, 222◦ 59′ 38′′, 119◦ 23′ 60′′, 51.797, 1.613
504.8, 223◦ 42′ 20′′, 118◦ 12′ 38′′, 52.748, 1.622
501.5, 224◦ 08′ 37′′, 118◦ 04′ 33′′, 53.034, 1.624
492.2, 224◦ 65′ 24′′, 118◦ 11′ 51′′, 53.446, 1.628
471.3, 224◦ 77′ 34′′, 117◦ 44′ 28′′, 53.776, 1.631
447.1, 225◦ 07′ 23′′, 117◦ 12′ 09′′, 53.960, 1.632
438.7, 225◦ 46′ 36′′, 116◦ 24′ 27′′, 54.685, 1.639
