Sample,Time(S),CH1(V),CH2(V)
132,-0.001468,-0.0798874,-3.11561
133,-0.001467,-0.0798874,-3.08365
134,-0.001466,-0.0798874,-3.03572
135,-0.001465,-0.0798874,-2.97181
136,-0.001464,-0.0798874,-2.95583
137,-0.001463,-0.0798874,-2.9079
138,-0.001462,-0.0798874,-2.87595
139,-0.001461,-0.0639099,-2.84399
140,-0.00146,-0.0639099,-2.7641
141,-0.001459,-0.0639099,-2.74813
142,-0.001458,-0.0639099,-2.70019
143,-0.001457,-0.0798874,-2.66824
144,-0.001456,-0.0798874,-2.62031
145,-0.001455,-0.0639099,-2.5564
146,-0.001454,-0.0639099,-2.52444
147,-0.001453,-0.0798874,-2.47651
148,-0.001452,-0.0798874,-2.4126
149,-0.001451,-0.0798874,-2.39662
150,-0.00145,-0.0639099,-2.33271
151,-0.001449,-0.0639099,-2.28478
152,-0.001448,-0.0639099,-2.25282
153,-0.001447,-0.0479324,-2.20489
154,-0.001446,-0.0798874,-2.14098
155,-0.001445,-0.0639099,-2.09305
156,-0.001444,-0.0639099,-2.06109
157,-0.001443,-0.0798874,-1.99718
158,-0.001442,-0.0798874,-1.96523
159,-0.001441,-0.0798874,-1.93327
160,-0.00144,-0.0798874,-1.86936
161,-0.001439,-0.0479324,-1.80545
162,-0.001438,-0.0798874,-1.7735
163,-0.001437,-0.0479324,-1.74154
164,-0.001436,-0.0798874,-1.67763
165,-0.001435,-0.0639099,-1.61372
166,-0.001434,-0.0639099,-1.56579
167,-0.001433,-0.0639099,-1.51786
168,-0.001432,-0.0639099,-1.46993
169,-0.001431,-0.0639099,-1.40602
170,-0.00143,-0.0798874,-1.37406
171,-0.001429,-0.0798874,-1.32613
172,-0.001428,-0.0798874,-1.2782
173,-0.001427,-0.0798874,-1.23027
174,-0.001426,-0.0798874,-1.19831
175,-0.001425,-0.0798874,-1.11842
176,-0.001424,-0.0798874,-1.07049
177,-0.001423,-0.0798874,-1.02256
178,-0.001422,-0.0798874,-0.990603
