Sample,Time(S),CH1(V),CH2(V)
148,-0.0065,0.0334074,0.0835186
149,-0.00649,-0.0501112,0
150,-0.00648,-0.100222,-0.0668149
151,-0.00647,-0.167037,-0.100222
152,-0.00646,-0.200445,-0.183741
153,-0.00645,-0.300667,-0.217148
154,-0.00644,-0.350778,-0.317371
155,-0.00643,-0.384186,-0.367482
156,-0.00642,-0.451,-0.400889
157,-0.00641,-0.534519,-0.467704
158,-0.0064,-0.58463,-0.534519
159,-0.00639,-0.618038,-0.58463
160,-0.00638,-0.668149,-0.651445
161,-0.00637,-0.751667,-0.684853
162,-0.00636,-0.768371,-0.71826
163,-0.00635,-0.835186,-0.785075
164,-0.00634,-0.85189,-0.818482
165,-0.00633,-0.885297,-0.85189
166,-0.00632,-0.918705,-0.885297
167,-0.00631,-0.968816,-0.902001
168,-0.0063,-1.00222,-0.952112
169,-0.00629,-1.00222,-0.952112
170,-0.00628,-1.01893,-0.968816
171,-0.00627,-1.05233,-1.01893
172,-0.00626,-1.06904,-1.01893
173,-0.00625,-1.06904,-1.03563
174,-0.00624,-1.06904,-1.03563
175,-0.00623,-1.06904,-1.03563
176,-0.00622,-1.06904,-1.03563
177,-0.00621,-1.05233,-1.01893
178,-0.0062,-1.05233,-1.01893
179,-0.00619,-1.03563,-0.968816
180,-0.00618,-1.00222,-0.952112
181,-0.00617,-1.00222,-0.952112
182,-0.00616,-0.968816,-0.902001
183,-0.00615,-0.918705,-0.902001
184,-0.00614,-0.885297,-0.85189
185,-0.00613,-0.85189,-0.818482
186,-0.00612,-0.818482,-0.785075
187,-0.00611,-0.785075,-0.768371
188,-0.0061,-0.751667,-0.684853
189,-0.00609,-0.701556,-0.668149
190,-0.00608,-0.634741,-0.601334
191,-0.00607,-0.601334,-0.551223
192,-0.00606,-0.551223,-0.484408
193,-0.00605,-0.451,-0.417593
194,-0.00604,-0.417593,-0.384186
195,-0.00603,-0.367482,-0.317371
196,-0.00602,-0.300667,-0.26726
197,-0.00601,-0.233852,-0.183741
198,-0.006,-0.167037,-0.116926
199,-0.00599,-0.100222,-0.0835186
200,-0.00598,-0.0668149,-0.0334074
201,-0.00597,0.0334074,0.0501112
202,-0.00596,0.0668149,0.116926
203,-0.00595,0.150333,0.183741
204,-0.00594,0.200445,0.217148
205,-0.00593,0.250556,0.300667
206,-0.00592,0.317371,0.367482
207,-0.00591,0.367482,0.417593
208,-0.0059,0.417593,0.467704
209,-0.00589,0.484408,0.534519
210,-0.00588,0.534519,0.58463
211,-0.00587,0.601334,0.618038
212,-0.00586,0.618038,0.668149
213,-0.00585,0.684853,0.701556
214,-0.00584,0.71826,0.751667
215,-0.00583,0.751667,0.785075
216,-0.00582,0.785075,0.818482
217,-0.00581,0.818482,0.868594
218,-0.0058,0.835186,0.868594
219,-0.00579,0.868594,0.902001
220,-0.00578,0.885297,0.918705
221,-0.00577,0.885297,0.935408
222,-0.00576,0.902001,0.952112
223,-0.00575,0.918705,0.952112
224,-0.00574,0.918705,0.952112
225,-0.00573,0.918705,0.952112
226,-0.00572,0.918705,0.952112
227,-0.00571,0.918705,0.952112
228,-0.0057,0.902001,0.952112
229,-0.00569,0.885297,0.902001
230,-0.00568,0.868594,0.902001
231,-0.00567,0.835186,0.902001
232,-0.00566,0.835186,0.85189
233,-0.00565,0.785075,0.85189
234,-0.00564,0.768371,0.801779
235,-0.00563,0.71826,0.785075
236,-0.00562,0.668149,0.701556
237,-0.00561,0.634741,0.668149
238,-0.0056,0.601334,0.651445
239,-0.00559,0.551223,0.58463
240,-0.00558,0.501112,0.551223
241,-0.00557,0.434297,0.501112
242,-0.00556,0.384186,0.434297
243,-0.00555,0.317371,0.367482
244,-0.00554,0.283963,0.317371
245,-0.00553,0.217148,0.250556
246,-0.00552,0.150333,0.200445
247,-0.00551,0.0835186,0.13363
248,-0.0055,0.0501112,0.0668149
249,-0.00549,-0.0334074,0
250,-0.00548,-0.100222,-0.0668149
251,-0.00547,-0.167037,-0.100222
252,-0.00546,-0.200445,-0.183741
253,-0.00545,-0.283963,-0.217148
254,-0.00544,-0.350778,-0.300667
255,-0.00543,-0.384186,-0.367482
256,-0.00542,-0.451,-0.417593
257,-0.00541,-0.534519,-0.451
258,-0.0054,-0.58463,-0.534519
259,-0.00539,-0.618038,-0.58463
260,-0.00538,-0.668149,-0.651445
261,-0.00537,-0.751667,-0.684853
262,-0.00536,-0.768371,-0.71826
263,-0.00535,-0.835186,-0.785075
264,-0.00534,-0.85189,-0.818482
265,-0.00533,-0.885297,-0.85189
266,-0.00532,-0.935408,-0.885297
267,-0.00531,-0.935408,-0.902001
268,-0.0053,-1.00222,-0.935408
269,-0.00529,-1.00222,-0.968816
270,-0.00528,-1.01893,-0.968816
271,-0.00527,-1.05233,-1.01893
272,-0.00526,-1.05233,-1.01893
273,-0.00525,-1.06904,-1.03563
274,-0.00524,-1.06904,-1.03563
275,-0.00523,-1.06904,-1.03563
276,-0.00522,-1.06904,-1.03563
277,-0.00521,-1.05233,-1.01893
278,-0.0052,-1.05233,-1.01893
279,-0.00519,-1.03563,-0.968816
280,-0.00518,-1.00222,-0.968816
281,-0.00517,-1.00222,-0.935408
282,-0.00516,-0.968816,-0.902001
283,-0.00515,-0.918705,-0.902001
284,-0.00514,-0.885297,-0.85189
285,-0.00513,-0.85189,-0.818482
286,-0.00512,-0.818482,-0.785075
287,-0.00511,-0.785075,-0.768371
288,-0.0051,-0.751667,-0.684853
289,-0.00509,-0.701556,-0.651445
290,-0.00508,-0.634741,-0.618038
291,-0.00507,-0.58463,-0.551223
292,-0.00506,-0.534519,-0.484408
293,-0.00505,-0.451,-0.417593
294,-0.00504,-0.417593,-0.384186
295,-0.00503,-0.350778,-0.317371
296,-0.00502,-0.283963,-0.26726
297,-0.00501,-0.233852,-0.183741
298,-0.005,-0.167037,-0.116926
299,-0.00499,-0.100222,-0.0835186
300,-0.00498,-0.0668149,-0.0334074
301,-0.00497,0.0334074,0.0501112
302,-0.00496,0.0668149,0.116926
303,-0.00495,0.150333,0.183741
304,-0.00494,0.183741,0.217148
305,-0.00493,0.26726,0.300667
306,-0.00492,0.317371,0.350778
307,-0.00491,0.367482,0.417593
308,-0.0049,0.417593,0.451
309,-0.00489,0.484408,0.534519
310,-0.00488,0.534519,0.567927
311,-0.00487,0.601334,0.634741
312,-0.00486,0.618038,0.668149
313,-0.00485,0.684853,0.701556
314,-0.00484,0.71826,0.751667
315,-0.00483,0.751667,0.785075
316,-0.00482,0.785075,0.818482
317,-0.00481,0.818482,0.868594
318,-0.0048,0.835186,0.868594
319,-0.00479,0.868594,0.902001
320,-0.00478,0.885297,0.918705
321,-0.00477,0.885297,0.935408
322,-0.00476,0.902001,0.952112
323,-0.00475,0.918705,0.952112
324,-0.00474,0.918705,0.952112
325,-0.00473,0.918705,0.952112
326,-0.00472,0.918705,0.952112
327,-0.00471,0.918705,0.952112
328,-0.0047,0.902001,0.952112
329,-0.00469,0.885297,0.902001
330,-0.00468,0.868594,0.918705
331,-0.00467,0.835186,0.885297
332,-0.00466,0.835186,0.85189
333,-0.00465,0.785075,0.835186
334,-0.00464,0.768371,0.801779
335,-0.00463,0.734964,0.785075
336,-0.00462,0.668149,0.701556
337,-0.00461,0.634741,0.668149
338,-0.0046,0.601334,0.651445
339,-0.00459,0.551223,0.58463
340,-0.00458,0.517815,0.534519
341,-0.00457,0.417593,0.501112
342,-0.00456,0.384186,0.417593
343,-0.00455,0.317371,0.367482
344,-0.00454,0.283963,0.300667
345,-0.00453,0.200445,0.26726
346,-0.00452,0.13363,0.183741
347,-0.00451,0.100222,0.13363
348,-0.0045,0.0334074,0.0668149
349,-0.00449,-0.0501112,0
350,-0.00448,-0.100222,-0.0668149
351,-0.00447,-0.150333,-0.100222
352,-0.00446,-0.217148,-0.183741
353,-0.00445,-0.283963,-0.217148
354,-0.00444,-0.350778,-0.317371
355,-0.00443,-0.384186,-0.367482
356,-0.00442,-0.451,-0.400889
357,-0.00441,-0.534519,-0.467704
358,-0.0044,-0.58463,-0.551223
359,-0.00439,-0.618038,-0.58463
360,-0.00438,-0.668149,-0.651445
361,-0.00437,-0.751667,-0.684853
362,-0.00436,-0.768371,-0.71826
363,-0.00435,-0.835186,-0.785075
364,-0.00434,-0.85189,-0.818482
365,-0.00433,-0.885297,-0.85189
366,-0.00432,-0.918705,-0.885297
367,-0.00431,-0.968816,-0.902001
368,-0.0043,-1.00222,-0.952112
369,-0.00429,-1.00222,-0.952112
370,-0.00428,-1.01893,-0.968816
371,-0.00427,-1.05233,-1.01893
372,-0.00426,-1.06904,-1.01893
373,-0.00425,-1.06904,-1.03563
374,-0.00424,-1.06904,-1.03563
375,-0.00423,-1.06904,-1.03563
376,-0.00422,-1.06904,-1.03563
377,-0.00421,-1.05233,-1.00222
378,-0.0042,-1.05233,-1.00222
379,-0.00419,-1.03563,-1.00222
380,-0.00418,-1.00222,-0.952112
381,-0.00417,-1.00222,-0.952112
382,-0.00416,-0.968816,-0.902001
383,-0.00415,-0.918705,-0.902001
384,-0.00414,-0.885297,-0.85189
385,-0.00413,-0.85189,-0.818482
