Sample,Time(S),CH1(V),CH2(V)
151,-0.003849,-0.0958648,-4.40978
152,-0.003848,-0.0958648,-4.40978
153,-0.003847,-0.0798874,-4.40978
154,-0.003846,-0.0958648,-4.36185
155,-0.003845,-0.0639099,-4.3299
156,-0.003844,-0.0798874,-4.21805
157,-0.003843,-0.0798874,-4.09023
158,-0.003842,-0.0798874,-3.97839
159,-0.003841,-0.0798874,-3.86655
160,-0.00384,-0.0798874,-3.73873
161,-0.003839,-0.0798874,-3.62689
162,-0.003838,-0.0479324,-3.48309
163,-0.003837,-0.0639099,-3.35527
164,-0.003836,-0.0639099,-3.22745
165,-0.003835,-0.0639099,-3.08365
166,-0.003834,-0.0639099,-2.93986
167,-0.003833,-0.0479324,-2.79606
168,-0.003832,-0.0479324,-2.65226
169,-0.003831,-0.0479324,-2.47651
170,-0.00383,-0.0479324,-2.31673
171,-0.003829,-0.0479324,-2.15696
172,-0.003828,-0.0479324,-1.99718
173,-0.003827,-0.0479324,-1.83741
174,-0.003826,-0.0319549,-1.70959
175,-0.003825,-0.0319549,-1.53384
176,-0.003824,-0.0319549,-1.35809
177,-0.003823,0,-1.21429
178,-0.003822,0,-1.03854
179,-0.003821,0,-0.894738
180,-0.00382,0,-0.703009
181,-0.003819,0,-0.575189
182,-0.003818,-0.0319549,-0.399437
183,-0.003817,-0.0319549,-0.25564
184,-0.003816,0.0159775,-0.0798874
185,-0.003815,0,0.0958648
186,-0.003814,0.0319549,0.271617
187,-0.003813,0.0319549,0.415414
188,-0.003812,0.0319549,0.607144
189,-0.003811,0.0319549,0.750941
190,-0.00381,0.0319549,0.894738
191,-0.003809,0.0319549,1.07049
192,-0.003808,0.0159775,1.24624
193,-0.003807,0.0479324,1.422
194,-0.003806,0.0319549,1.58177
195,-0.003805,0.0319549,1.72557
196,-0.003804,0.0319549,1.9173
197,-0.003803,0.0319549,2.06109
198,-0.003802,0.0319549,2.23685
199,-0.003801,0.0319549,2.39662
200,-0.0038,0.0479324,2.57237
201,-0.003799,0.0479324,2.73215
202,-0.003798,0.0479324,2.9079
203,-0.003797,0.0479324,3.06767
204,-0.003796,0.0479324,3.21147
205,-0.003795,0.0479324,3.38722
206,-0.003794,0.0479324,3.547
207,-0.003793,0.0479324,3.70677
208,-0.003792,0.0319549,3.88253
209,-0.003791,0.0639099,4.0423
210,-0.00379,0.0639099,4.20208
211,-0.003789,0.0639099,4.28196
212,-0.003788,0.0639099,4.31392
213,-0.003787,0.0319549,4.31392
214,-0.003786,0.0479324,4.31392
215,-0.003785,0.0479324,4.31392
216,-0.003784,0.0479324,4.31392
217,-0.003783,0.0319549,4.31392
218,-0.003782,0.0159775,4.31392
219,-0.003781,0.0319549,4.31392
220,-0.00378,0.0319549,4.31392
221,-0.003779,0.0319549,4.31392
222,-0.003778,0.0319549,4.31392
223,-0.003777,0.0319549,4.31392
224,-0.003776,0.0319549,4.31392
225,-0.003775,0.0319549,4.31392
226,-0.003774,0.0319549,4.28196
227,-0.003773,0.0319549,4.29794
228,-0.003772,0,4.29794
229,-0.003771,0.0159775,4.29794
230,-0.00377,0.0159775,4.29794
231,-0.003769,0.0159775,4.29794
232,-0.003768,0,4.29794
233,-0.003767,0,4.29794
234,-0.003766,0.0159775,4.29794
235,-0.003765,0,4.26599
236,-0.003764,0,4.28196
237,-0.003763,0,4.26599
238,-0.003762,0,4.29794
239,-0.003761,0,4.28196
240,-0.00376,0,4.28196
241,-0.003759,0,4.28196
242,-0.003758,0,4.28196
243,-0.003757,-0.0319549,4.28196
244,-0.003756,-0.0319549,4.28196
245,-0.003755,-0.0319549,4.25001
246,-0.003754,-0.0479324,4.26599
247,-0.003753,-0.0479324,4.26599
248,-0.003752,-0.0479324,4.26599
249,-0.003751,-0.0479324,4.26599
250,-0.00375,-0.0479324,4.26599
251,-0.003749,-0.0479324,4.21805
252,-0.003748,-0.0479324,4.25001
253,-0.003747,-0.0479324,4.25001
254,-0.003746,-0.0319549,4.25001
255,-0.003745,-0.0639099,4.25001
256,-0.003744,-0.0479324,4.25001
257,-0.003743,-0.0479324,4.25001
258,-0.003742,-0.0639099,4.25001
259,-0.003741,-0.0639099,4.25001
260,-0.00374,-0.0639099,4.25001
261,-0.003739,-0.0639099,4.25001
262,-0.003738,-0.0639099,4.25001
263,-0.003737,-0.0639099,4.25001
264,-0.003736,-0.0639099,4.21805
265,-0.003735,-0.0639099,4.21805
